date,val
07-06-16,117.76
08-06-16,118.39
09-06-16,118.56
10-06-16,116.62
13-06-16,113.95
14-06-16,114.94
15-06-16,114.6
16-06-16,114.39
17-06-16,113.02
20-06-16,113.37
21-06-16,114.38
22-06-16,113.91
23-06-16,115.08
24-06-16,112.08
27-06-16,108.97
28-06-16,112.7
29-06-16,114.16
30-06-16,114.28
01-07-16,114.19
05-07-16,114
06-07-16,116.7
07-07-16,115.85
08-07-16,117.24
11-07-16,117.87
12-07-16,117.93
13-07-16,116.78
14-07-16,117.29
15-07-16,116.86
18-07-16,119.37
19-07-16,120.61
20-07-16,121.92
21-07-16,120.61
22-07-16,121
25-07-16,121.63
26-07-16,121.22
27-07-16,123.34
28-07-16,125
29-07-16,123.94
01-08-16,124.31
02-08-16,123.09
03-08-16,122.51
04-08-16,124.36
05-08-16,125.15
08-08-16,125.26
09-08-16,125.06
10-08-16,124.88
11-08-16,124.9
12-08-16,124.88
15-08-16,123.9
16-08-16,123.3
17-08-16,124.37
18-08-16,123.91
19-08-16,123.56
22-08-16,124.15
23-08-16,124.37
24-08-16,123.48
25-08-16,123.89
26-08-16,124.96
29-08-16,126.54
30-08-16,125.84
31-08-16,126.12
01-09-16,126.17
02-09-16,126.51
06-09-16,129.73
07-09-16,131.05
08-09-16,130.27
09-09-16,127.1
12-09-16,128.69
13-09-16,127.21
14-09-16,127.77
15-09-16,128.35
16-09-16,129.07
19-09-16,128.65
20-09-16,128.64
21-09-16,129.94
22-09-16,130.08
23-09-16,127.96
26-09-16,127.31
27-09-16,128.69
28-09-16,129.23
29-09-16,128.09
30-09-16,128.27
03-10-16,128.77
04-10-16,128.19
05-10-16,128.47
06-10-16,128.74
07-10-16,128.99
10-10-16,130.24
11-10-16,128.88
12-10-16,129.05
13-10-16,127.82
14-10-16,127.88
17-10-16,127.54
18-10-16,128.57
19-10-16,130.11
20-10-16,130
21-10-16,132.07
24-10-16,133.28
25-10-16,132.29
26-10-16,131.04
27-10-16,129.69
28-10-16,131.29
31-10-16,130.99
01-11-16,129.5
02-11-16,127.17
03-11-16,120
04-11-16,120.75
07-11-16,122.15
08-11-16,124.22
09-11-16,123.18
10-11-16,120.8
11-11-16,119.02
14-11-16,115.08
15-11-16,117.2
16-11-16,116.34
17-11-16,117.79
18-11-16,117.02
21-11-16,121.77
22-11-16,121.47
23-11-16,120.84
25-11-16,120.38
28-11-16,120.41
29-11-16,120.87
30-11-16,118.42
01-12-16,115.1
02-12-16,115.4
05-12-16,117.43
06-12-16,117.31
07-12-16,117.95
08-12-16,118.91
09-12-16,119.68
12-12-16,117.77
13-12-16,120.31
14-12-16,120.21
15-12-16,120.57
16-12-16,119.87
19-12-16,119.24
20-12-16,119.09
21-12-16,119.04
22-12-16,117.4
23-12-16,117.27
27-12-16,118.01
28-12-16,116.92
29-12-16,116.35
30-12-16,115.05
03-01-17,116.86
04-01-17,118.69
05-01-17,120.67
06-01-17,123.41
09-01-17,124.9
10-01-17,124.35
11-01-17,126.09
12-01-17,126.62
13-01-17,128.34
17-01-17,127.87
18-01-17,127.92
19-01-17,127.55
20-01-17,127.04
23-01-17,128.93
24-01-17,129.37
25-01-17,131.48
26-01-17,132.78
27-01-17,132.18
30-01-17,130.98
31-01-17,130.32
01-02-17,133.23
02-02-17,130.84
03-02-17,130.98
06-02-17,132.06
07-02-17,131.84
08-02-17,134.2
09-02-17,134.14
10-02-17,134.19
13-02-17,134.05
14-02-17,133.85
15-02-17,133.44
16-02-17,133.84
17-02-17,133.53
21-02-17,133.72
22-02-17,136.12
23-02-17,135.36
24-02-17,135.44
27-02-17,136.41
28-02-17,135.54
01-03-17,137.42
02-03-17,136.76
03-03-17,137.17
06-03-17,137.42
07-03-17,137.3
08-03-17,137.72
09-03-17,138.24
10-03-17,138.79
13-03-17,139.6
14-03-17,139.32
15-03-17,139.72
16-03-17,139.99
17-03-17,139.84
20-03-17,139.94
21-03-17,138.51
22-03-17,139.59
23-03-17,139.53
24-03-17,140.34
27-03-17,140.32
28-03-17,141.76
29-03-17,142.65
30-03-17,142.41
31-03-17,142.05
03-04-17,142.28
04-04-17,141.73
05-04-17,141.85
06-04-17,141.17
07-04-17,140.78
10-04-17,141.04
11-04-17,139.92
12-04-17,139.58
13-04-17,139.39
17-04-17,141.42
18-04-17,140.96
19-04-17,142.27
20-04-17,143.8
21-04-17,143.68
24-04-17,145.47
25-04-17,146.49
26-04-17,146.56
27-04-17,147.7
28-04-17,150.25
01-05-17,152.46
02-05-17,152.78
03-05-17,151.8
04-05-17,150.85
05-05-17,150.24
08-05-17,151.06
09-05-17,150.48
10-05-17,150.29
11-05-17,150.04
12-05-17,150.33
15-05-17,150.19
16-05-17,149.78
17-05-17,144.85
18-05-17,147.66
19-05-17,148.06
22-05-17,148.24
23-05-17,148.07
24-05-17,150.04
25-05-17,151.96
26-05-17,152.13
30-05-17,152.38
31-05-17,151.46
